Payment_ID,Amount,Date,Method,Client_ID,Worker_ID
1,120.00,2023-11-01,Credit Card,1,1
2,90.00,2023-11-02,Cash,2,2
3,100.00,2023-11-03,Debit Card,3,3
4,150.00,2023-11-04,Cash,4,4
5,80.00,2023-11-05,Credit Card,5,5
6,130.00,2023-11-06,Debit Card,6,6
7,100.00,2023-11-07,Cash,7,7
8,90.00,2023-11-08,UPI,8,8
9,120.00,2023-11-09,Debit Card,9,9
10,110.00,2023-11-10,Cash,10,10
11,95.00,2023-11-11,Credit Card,11,11
12,140.00,2023-11-12,Debit Card,12,12
13,105.00,2023-11-13,Cash,13,13
14,85.00,2023-11-14,Credit Card,14,14
15,125.00,2023-11-15,Debit Card,15,15
16,95.00,2023-11-16,UPI,16,16
17,75.00,2023-11-17,Credit Card,17,17
18,110.00,2023-11-18,Debit Card,18,18
19,85.00,2023-11-19,Cash,19,19
20,130.00,2023-11-20,UPI,20,20
21,120.00,2023-11-21,Debit Card,21,21
22,100.00,2023-11-22,Cash,22,22
23,90.00,2023-11-23,Credit Card,23,23
24,115.00,2023-11-24,Debit Card,24,24
25,95.00,2023-11-25,Cash,25,25
26,80.00,2023-11-26,Credit Card,26,26
27,125.00,2023-11-27,UPI,27,27
28,105.00,2023-11-28,Cash,28,28
29,85.00,2023-11-29,Credit Card,29,29
30,135.00,2023-11-30,Debit Card,30,30
31,115.00,2023-12-01,Cash,31,31
32,95.00,2023-12-02,UPI,32,32
33,130.00,2023-12-03,Debit Card,33,33
34,120.00,2023-12-04,Cash,34,34
35,80.00,2023-12-05,Credit Card,35,35
36,135.00,2023-12-06,Debit Card,36,36
37,105.00,2023-12-07,UPI,37,37
38,90.00,2023-12-08,Credit Card,38,38
39,125.00,2023-12-09,Debit Card,39,39
40,110.00,2023-12-10,Cash,40,40
41,85.00,2023-12-11,Credit Card,41,41
42,140.00,2023-12-12,UPI,42,42
43,100.00,2023-12-13,Cash,43,43
44,80.00,2023-12-14,Credit Card,44,44
45,130.00,2023-12-15,Debit Card,45,45
46,115.00,2023-12-16,Cash,46,46
47,90.00,2023-12-17,Credit Card,47,47
48,135.00,2023-12-18,Debit Card,48,48
49,120.00,2023-12-19,UPI,49,49
50,80.00,2023-12-20,Credit Card,50,50
51,140.00,2023-12-21,Debit Card,51,51
52,100.00,2023-12-22,Cash,52,52
53,85.00,2023-12-23,UPI,53,53
54,125.00,2023-12-24,Debit Card,54,54
55,110.00,2023-12-25,Cash,55,55
56,90.00,2023-12-26,Credit Card,56,56
57,130.00,2023-12-27,UPI,57,57
58,115.00,2023-12-28,Cash,58,58
59,80.00,2023-12-29,Credit Card,59,59
60,135.00,2023-12-30,Debit Card,60,60
61,120.00,2023-12-31,Cash,61,61
62,85.00,2024-01-01,Credit Card,62,62
63,140.00,2024-01-02,Debit Card,63,63
64,100.00,2024-01-03,Cash,64,64
65,90.00,2024-01-04,UPI,65,65
66,130.00,2024-01-05,Debit Card,66,66
67,115.00,2024-01-06,Cash,67,67
68,80.00,2024-01-07,Credit Card,68,68
69,125.00,2024-01-08,UPI,69,69
70,110.00,2024-01-09,Cash,70,70
71,85.00,2024-01-10,Credit Card,71,71
72,140.00,2024-01-11,Debit Card,72,72
73,100.00,2024-01-12,Cash,73,73
74,90.00,2024-01-13,Credit Card,74,74
75,130.00,2024-01-14,Debit Card,75,75
76,115.00,2024-01-15,Cash,76,76
77,80.00,2024-01-16,Credit Card,77,77
78,125.00,2024-01-17,UPI,78,78
79,110.00,2024-01-18,Cash,79,79
80,85.00,2024-01-19,Credit Card,80,80
81,140.00,2024-01-20,Debit Card,81,81
82,100.00,2024-01-21,Cash,82,82
83,90.00,2024-01-22,Credit Card,83,83
84,130.00,2024-01-23,UPI,84,84
85,115.00,2024-01-24,Cash,85,85
86,80.00,2024-01-25,Credit Card,86,86
87,125.00,2024-01-26,Debit Card,87,87
88,110.00,2024-01-27,UPI,88,88
89,85.00,2024-01-28,Credit Card,89,89
90,140.00,2024-01-29,Debit Card,90,90
91,100.00,2024-01-30,Cash,91,91
92,90.00,2024-01-31,Credit Card,92,92
93,130.00,2024-02-01,UPI,93,93
94,115.00,2024-02-02,Cash,94,94
95,80.00,2024-02-03,Credit Card,95,95
96,125.00,2024-02-04,Debit Card,96,96
97,110.00,2024-02-05,Cash,97,97
98,85.00,2024-02-06,Credit Card,98,98
99,140.00,2024-02-07,UPI,99,99
100,100.00,2024-02-08,Cash,100,100
